Q1,Q2,Q3,Q4,Q5_3,I9#1_1,I9#1_2,I9#1_3,I9#1_4,I9#1_5,I9#1_6,I9#1_7,I9#1_8,I11,I12,I13,I14_1
Male,High School,Caucasian or White,Donald Trump,4.4,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4.4
Male,High School,Hispanic or Latino,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.9
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Male,Some College,Caucasian or White,Other,5.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Bachelor's Degree,Caucasian or White,Other,5.1,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,1.5
Female,Master's Degree,Caucasian or White,Did not vote,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Asian,Hillary Clinton,1,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4.1
Female,Some College,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5
Male,Master's Degree,African American or Black,Donald Trump,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,6
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Some College,Caucasian or White,Hillary Clinton,5.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.2
Female,Some College,Caucasian or White,Other,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.1
Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,3.8
Male,Some College,African American or Black,Hillary Clinton,5.2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,7
Male,Master's Degree,Caucasian or White,Donald Trump,5.4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,2.4
Male,Bachelor's Degree,Asian,Did not vote,5,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,1
Female,Master's Degree,Native American or American Indian,Hillary Clinton,5.4,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,2.2
Male,Bachelor's Degree,Native American or American Indian,Donald Trump,5.4,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4.3
Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,6.1,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,Yes,5.5
Female,Bachelor's Degree,African American or Black,Donald Trump,6.8,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,Yes,No,3.6
Male,High School,Caucasian or White,Did not vote,5.6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,3.2
Female,Bachelor's Degree,Caucasian or White,Donald Trump,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4
Male,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,2.4
Male,Some College,Caucasian or White,Donald Trump,5.9,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,1.3
Female,Other,Caucasian or White,Hillary Clinton,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,5.7
Male,Some College,Caucasian or White,Did not vote,6.3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.9
Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,1
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Some College,Caucasian or White,Other,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,6.1,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,Yes,5.8
Male,Some College,Caucasian or White,Donald Trump,6.1,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,6.1
Female,Some College,Caucasian or White,Did not vote,4.8,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,High School,Caucasian or White,Hillary Clinton,4.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,Yes,1.9
Male,Some College,Hispanic or Latino,Hillary Clinton,5.1,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,4.8
Female,Some College,Caucasian or White,Hillary Clinton,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,3
Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.6,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,No,1.3
Male,Some College,Caucasian or White,Other,2.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,1
Female,Bachelor's Degree,Caucasian or White,Did not vote,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Doctoral Degree or Equivalent,Asian,Donald Trump,5.1,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,5
Male,Bachelor's Degree,Asian,Hillary Clinton,3.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,4.6
Male,Bachelor's Degree,Caucasian or White,Did not vote,3.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,Yes,4.9
Male,Some College,African American or Black,Other,5.2,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,Yes,4
Female,Bachelor's Degree,Caucasian or White,Other,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,5
Male,Master's Degree,Caucasian or White,Hillary Clinton,2,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,5.6
Female,Some College,Caucasian or White,Did not vote,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,3
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Yes,No,No,2.8
Male,Master's Degree,Caucasian or White,Other,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Doctoral Degree or Equivalent,Caucasian or White,Other,2,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,Yes,No,4
Female,High School,Caucasian or White,Donald Trump,6.3,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1.1
Male,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,5.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Yes,No,No,7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,3
Female,High School,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,6
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4.1
Male,Bachelor's Degree,African American or Black,Donald Trump,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4.1
Female,Some College,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,6
Male,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,7
Female,Some College,Hispanic or Latino,Hillary Clinton,5.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Some College,Caucasian or White,Other,4.7,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Yes,No,No,4.1
Female,High School,Asian,Donald Trump,5.3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,4
Male,Master's Degree,Hispanic or Latino,Donald Trump,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Yes,Yes,Yes,7
Male,Master's Degree,Hispanic or Latino,Donald Trump,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Yes,Yes,Yes,6.1
Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.2,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,No,No,5.1
Female,High School,Caucasian or White,Donald Trump,6.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,Yes,6.1
Male,Some College,Caucasian or White,Did not vote,3.6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,3.9
Female,High School,Caucasian or White,Donald Trump,6.1,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,4
Male,Some College,Caucasian or White,Other,2.3,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Yes,No,No,4.3
Female,Bachelor's Degree,African American or Black,Did not vote,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.2
Male,Master's Degree,Caucasian or White,Other,3,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Male,Master's Degree,Caucasian or White,Hillary Clinton,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,High School,Caucasian or White,Donald Trump,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,Yes,4.5
Male,Some College,Hispanic or Latino,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Some College,Caucasian or White,Hillary Clinton,5.8,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.9
Female,Some College,Caucasian or White,Hillary Clinton,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Bachelor's Degree,African American or Black,Hillary Clinton,1.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,6.1
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,4.1
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.5
Male,High School,Caucasian or White,Donald Trump,4,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Bachelor's Degree,Caucasian or White,Other,4.5,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1.5
Male,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4
Female,Some College,Asian,Hillary Clinton,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.8
Male,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.3
Female,High School,Caucasian or White,Donald Trump,6.3,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.1
Female,Some College,Caucasian or White,Donald Trump,6.6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.2
Female,High School,Caucasian or White,Other,6.3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4.7
Male,Some College,Caucasian or White,Other,4.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,2.9
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.2,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Yes,Yes,Yes,5.1
Female,Bachelor's Degree,Asian,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.1
Male,High School,African American or Black,Other,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,4
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.6
Male,Some College,African American or Black,Other,6.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,5.5
Female,Bachelor's Degree,Caucasian or White,Other,3.4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,6.8
Female,Master's Degree,Hispanic or Latino,Donald Trump,4.5,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,Yes,5.2
Male,Master's Degree,Caucasian or White,Hillary Clinton,5.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5
Female,Bachelor's Degree,African American or Black,Did not vote,3.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,No,4
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Female,Some College,Caucasian or White,Did not vote,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,7
Female,Bachelor's Degree,Hispanic or Latino,Other,5.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.5
Male,Some College,African American or Black,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Master's Degree,African American or Black,Donald Trump,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Bachelor's Degree,Caucasian or White,Did not vote,4.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Master's Degree,Caucasian or White,Did not vote,5.5,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4
Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,1.1
Female,Bachelor's Degree,Pacific Islander,Donald Trump,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,No,4.5
Male,Some College,Caucasian or White,Donald Trump,5.2,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Bachelor's Degree,African American or Black,Did not vote,5.2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,1.2
Male,Some College,Caucasian or White,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,3.3,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Yes,Yes,No,6.8
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Some College,Caucasian or White,Donald Trump,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,4
Female,High School,Caucasian or White,Did not vote,5.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
