Q1,Q2,Q3,Q4,Q5_3,I9#1_1,I9#1_2,I9#1_3,I9#1_4,I9#1_5,I9#1_6,I9#1_7,I9#1_8,I11,I12,I13,I14_1
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,High School,Asian,Hillary Clinton,4.1,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,4
Female,Some College,Caucasian or White,Hillary Clinton,5.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Yes,Yes,Yes,1.4
Male,Bachelor's Degree,Caucasian or White,Other,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,7
Female,Some College,Caucasian or White,Donald Trump,6.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,2.1
Female,Master's Degree,Caucasian or White,Donald Trump,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,No,No,No,5
Male,Bachelor's Degree,African American or Black,Donald Trump,6.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,4.3
Female,Some College,Caucasian or White,Other,4,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,No,5.1
Male,Some College,Caucasian or White,Other,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Yes,Yes,Yes,5.9
Male,Master's Degree,Hispanic or Latino,Donald Trump,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Yes,Yes,Yes,6.1
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Some College,Asian,Hillary Clinton,5.4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.3,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.1
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,High School,Caucasian or White,Did not vote,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4
Male,Master's Degree,African American or Black,Donald Trump,5.8,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Yes,Yes,Yes,6
Female,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,Yes,1.1
Male,Some College,Other,Hillary Clinton,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.1
Male,Bachelor's Degree,Asian,Hillary Clinton,2.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Male,Bachelor's Degree,Caucasian or White,Did not vote,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,4.5
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.1,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,5.6
Male,Some College,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4
Female,Some College,Caucasian or White,Hillary Clinton,4.2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.5,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,Yes,2
Female,High School,Caucasian or White,Donald Trump,7,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1
Male,Some College,Caucasian or White,Other,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,No,7
