Language,yearsInUS,deportIllegal,Vote,knowUndocumented,TrumpDiscrimination,AgeOrig,Sex1,BornInUS
EN,5,0,Trump,0,4.1,51-60,Male,0
EN,5,0,Clinton,1,5.4,41-50,Female,1
EN,5,1,Clinton,1,7,61+,Female,1
EN,3,0,Clinton,1,NA,31-40,Male,1
EN,5,1,Trump,0,1.8,51-60,Male,NA
EN,5,0,Did Not Vote,0,5.7,41-50,Female,1
EN,3,0,Clinton,1,4.9,18-24,Male,NA
EN,3,0,Did Not Vote,1,4.7,18-24,Male,1
EN,3,1,Trump,0,2.2,25-30,Female,0
EN,5,0,Clinton,1,2.5,31-40,Female,NA
EN,5,1,Trump,0,1.7,51-60,Male,1
EN,3,1,Clinton,0,5.3,18-24,Male,0
EN,1,1,Did Not Vote,0,5.2,31-40,Female,0
EN,3,0,Did Not Vote,0,6.2,18-24,Female,1
EN,2,0,Did Not Vote,1,5,18-24,Male,1
EN,5,0,Clinton,0,4.1,31-40,Female,1
EN,4,0,Clinton,0,7,25-30,Female,1
EN,3,0,Did Not Vote,1,5.1,18-24,Female,1
ES,5,0,Other,0,7,31-40,Male,1
EN,1,0,Trump,1,NA,31-40,Male,1
EN,3,0,Trump,1,5.5,18-24,Female,1
EN,5,0,Did Not Vote,1,6.7,31-40,Male,1
EN,5,1,Trump,0,5.2,51-60,Female,1
EN,4,1,Did Not Vote,0,2,25-30,Female,1
ES,1,0,Did Not Vote,1,5,25-30,Male,0
EN,4,0,Clinton,1,5.5,18-24,Female,1
EN,4,1,Clinton,0,3.5,18-24,Female,NA
EN,5,1,Clinton,0,7,51-60,Male,1
EN,5,0,Clinton,0,7,61+,Female,0
EN,5,1,Did Not Vote,1,6.1,41-50,Male,1
ES,5,0,Clinton,0,7,31-40,Female,0
EN,3,0,Clinton,1,5,25-30,Female,0
EN,5,1,Other,0,4,41-50,Female,1
EN,5,0,Clinton,1,6.3,31-40,Female,0
EN,5,0,Clinton,1,5,25-30,Female,1
EN,5,1,Clinton,1,6.9,51-60,Female,1
EN,5,1,Did Not Vote,0,7,18-24,Female,0
EN,5,1,Trump,0,1,31-40,Male,1
EN,5,0,Clinton,1,7,51-60,Male,0
EN,4,0,Did Not Vote,1,6.3,25-30,Female,NA
EN,5,0,Other,0,5.2,41-50,Male,1
EN,5,0,Did Not Vote,0,4.3,41-50,Female,1
EN,3,1,Clinton,1,6.2,31-40,Female,0
EN,3,0,Did Not Vote,1,7,18-24,Female,1
EN,3,0,Did Not Vote,0,3,18-24,Male,1
EN,4,1,Trump,0,1,25-30,Female,NA
EN,5,0,Did Not Vote,1,7,25-30,Female,1
EN,5,1,Trump,0,1.1,31-40,Female,1
EN,3,0,Clinton,0,5.3,25-30,Female,1
ES,2,0,Trump,1,4.2,25-30,Female,0
EN,5,1,Clinton,1,6.1,41-50,Male,1
EN,5,1,Other,1,5.1,51-60,Male,1
EN,4,0,Did Not Vote,1,7,25-30,Female,0
ES,3,1,Clinton,0,5,18-24,Female,0
EN,5,0,Clinton,0,7,41-50,Male,1
EN,5,0,Did Not Vote,0,7,41-50,Male,1
EN,3,0,Clinton,0,7,31-40,Female,NA
EN,5,0,Did Not Vote,0,7,31-40,Male,1
EN,3,0,Clinton,0,7,18-24,Female,1
EN,4,0,Clinton,1,7,18-24,Female,1
EN,4,0,Did Not Vote,1,7,25-30,Female,1
EN,3,0,Other,1,6.8,18-24,Female,0
EN,5,1,Trump,1,1.8,61+,Female,1
EN,4,0,Did Not Vote,1,6.1,25-30,Female,0
EN,4,1,Clinton,0,7,31-40,Female,0
EN,5,1,Trump,0,1.5,61+,Female,1
EN,5,0,Clinton,0,7,31-40,Female,1
EN,5,0,Other,0,6.2,31-40,Female,1
EN,4,0,Did Not Vote,1,6.8,18-24,Female,NA
EN,4,0,Clinton,0,7,25-30,Female,1
EN,5,0,Other,0,5.4,31-40,Male,1
EN,5,0,Other,0,6.2,31-40,Male,1
EN,5,0,Clinton,0,7,31-40,Male,1
EN,3,0,Did Not Vote,0,6,41-50,Female,0
EN,4,1,Clinton,1,7,18-24,Female,1
EN,4,0,Clinton,1,6,25-30,Female,1
EN,5,0,Clinton,1,5.3,41-50,Female,NA
EN,5,1,Did Not Vote,1,3.1,31-40,Female,1
EN,5,0,Clinton,0,6.2,31-40,Female,1
EN,5,1,Trump,1,1,31-40,Male,1
EN,3,0,Did Not Vote,1,6.7,18-24,Female,1
EN,3,0,Did Not Vote,1,6.3,18-24,Female,NA
EN,2,1,Trump,0,1,25-30,Male,0
EN,5,0,Clinton,0,6.1,41-50,Male,1
EN,5,0,Clinton,1,6.9,41-50,Female,NA
